t_us,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
37594060,37546306,0.58734130859375,-0.01361083984375,-0.077392578125,0.80548095703125,1,547,37547372,1015.551513671875,23.3799991607666,-19.13303565979004,557,37594057,0,0,0.0,0.0,0.0,0,557
37640157,37598490,0.58740234375,-0.013671875,-0.07745361328125,0.80548095703125,1,548,37599556,1015.583251953125,23.3799991607666,-19.397268295288086,558,37640154,0,0,0.0,0.0,0.0,0,558
37693162,37650675,0.58746337890625,-0.013671875,-0.07745361328125,0.805419921875,1,549,37651741,1015.528076171875,23.3700008392334,-18.937503814697266,559,37693159,0,0,0.0,0.0,0.0,0,559
37745179,37702675,0.5875244140625,-0.013671875,-0.07745361328125,0.80535888671875,1,550,37703741,1015.530029296875,23.3700008392334,-18.953357696533203,560,37745176,0,0,0.0,0.0,0.0,0,560
37792149,37755740,0.58734130859375,-0.01385498046875,-0.07720947265625,0.8055419921875,1,551,37756806,1015.52783203125,23.3799991607666,-18.93486213684082,561,37792146,0,0,0.0,0.0,0.0,0,561
37842147,37793675,0.58734130859375,-0.0137939453125,-0.07708740234375,0.8055419921875,1,552,37794741,1015.521240234375,23.3799991607666,-18.882015228271484,562,37842144,0,0,0.0,0.0,0.0,0,562
37894059,37846306,0.58734130859375,-0.01373291015625,-0.07708740234375,0.8055419921875,1,553,37847371,1015.527099609375,23.3799991607666,-18.929576873779297,563,37894057,0,0,0.0,0.0,0.0,0,563
37940149,37897675,0.58740234375,-0.01336669921875,-0.076904296875,0.8055419921875,1,554,37898741,1015.5703125,23.3700008392334,-19.28893280029297,564,37940146,0,0,0.0,0.0,0.0,0,564
37992128,37897675,0.58740234375,-0.01336669921875,-0.076904296875,0.8055419921875,1,554,37950805,1015.5322265625,23.3799991607666,-18.97185516357422,565,37992125,0,0,0.0,0.0,0.0,0,565
38043059,38001490,0.58734130859375,-0.01409912109375,-0.076904296875,0.8055419921875,1,555,38002556,1015.519287109375,23.3799991607666,-18.8635196685791,566,38043056,0,0,0.0,0.0,0.0,0,566
38095073,38052860,0.58734130859375,-0.01416015625,-0.07684326171875,0.8055419921875,1,556,38053926,1015.536376953125,23.3799991607666,-19.00620460510254,567,38095070,0,0,0.0,0.0,0.0,0,567
38141116,38105490,0.58734130859375,-0.01409912109375,-0.0767822265625,0.80560302734375,1,557,38106556,1015.517333984375,23.3700008392334,-18.847665786743164,568,38141113,0,0,0.0,0.0,0.0,0,568
38191106,38142675,0.58734130859375,-0.01416015625,-0.0767822265625,0.80560302734375,1,558,38143741,1015.528076171875,23.3700008392334,-18.937503814697266,569,38191103,0,0,0.0,0.0,0.0,0,569
38243101,38195555,0.586669921875,-0.02252197265625,-0.07720947265625,0.8057861328125,1,559,38196621,1015.527587890625,23.3799991607666,-18.93486213684082,570,38243098,0,0,0.0,0.0,0.0,0,570
38290220,38247675,0.586669921875,-0.02252197265625,-0.0772705078125,0.8057861328125,1,560,38248741,1015.517333984375,23.3799991607666,-18.847665786743164,571,38290217,0,0,0.0,0.0,0.0,0,571
38342059,38299859,0.586669921875,-0.02294921875,-0.07733154296875,0.8057861328125,1,561,38300925,1015.52197265625,23.3799991607666,-18.887300491333008,572,38342057,0,0,0.0,0.0,0.0,0,572
38393157,38351490,0.586669921875,-0.02294921875,-0.0772705078125,0.8057861328125,1,562,38352556,1015.536376953125,23.389999389648438,-19.00620460510254,573,38393154,0,0,0.0,0.0,0.0,0,573
