t_us,state,batteryVoltage,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq,fin_cmd_rad
10988376,2,4.015429497,10987305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,76,10988371,1024.641113,27.55999947,-94.19340515,77,0,0,0,0,0,0,0,0,0
10994322,2,4.015429497,10993251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,77,10994317,1024.629395,27.56999969,-94.09564209,78,0,0,0,0,0,0,0,0,0
10997376,2,4.015429497,10996305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,78,10997371,1024.629395,27.56999969,-94.09564209,79,0,0,0,0,0,0,0,0,0
11001322,2,4.002539158,11000251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,79,11001316,1024.629395,27.56999969,-94.09564209,80,0,0,0,0,0,0,0,0,0
11008376,2,4.015429497,11007305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,80,11008371,1024.629395,27.56999969,-94.09564209,81,0,0,0,0,0,0,0,0,0
11014322,2,4.015429497,11013251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,81,11014317,1024.654541,27.56999969,-94.30174255,82,0,0,0,0,0,0,0,0,0
11017376,2,4.015429497,11016305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,82,11017371,1024.654541,27.56999969,-94.30174255,83,0,0,0,0,0,0,0,0,0
11021322,2,3.99609375,11020251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,83,11021316,1024.654541,27.56999969,-94.30174255,84,0,0,0,0,0,0,0,0,0
11028322,2,4.002539158,11027251,0.267456055,-0.115844727,-0.241577148,0.925537109,3,0.03125,0.01953125,-0.0625,0,0,0,84,11028317,1024.654541,27.56999969,-94.30174255,85,0,0,0,0,0,0,0,0,0
11034376,2,4.015429497,11033305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,85,11034371,1024.614014,27.56999969,-93.97145081,86,0,0,0,0,0,0,0,0,0
11039322,2,4.002539158,11038251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,86,11039316,1024.614014,27.56999969,-93.97145081,87,0,0,0,0,0,0,0,0,0
11042376,2,3.99609375,11041305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,87,11042371,1024.614014,27.56999969,-93.97145081,88,0,0,0,0,0,0,0,0,0
11052322,2,4.002539158,11051251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,88,11052317,1024.637451,27.55999947,-94.16434479,89,0,0,0,0,0,0,0,0,0
11055376,2,4.015429497,11054305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,89,11055371,1024.637451,27.55999947,-94.16434479,90,0,0,0,0,0,0,0,0,0
11060322,2,4.008984566,11059251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,90,11060316,1024.637451,27.55999947,-94.16434479,91,0,0,0,0,0,0,0,0,0
11063376,2,3.989648342,11062305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,91,11063371,1024.637451,27.55999947,-94.16434479,92,0,0,0,0,0,0,0,0,0
11073322,2,4.015429497,11072251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,92,11073317,1024.632568,27.55999947,-94.12206268,93,0,0,0,0,0,0,0,0,0
11077376,2,4.002539158,11076305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,93,11077370,1024.632568,27.55999947,-94.12206268,94,0,0,0,0,0,0,0,0,0
11082322,2,4.002539158,11081251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,94,11082316,1024.632568,27.55999947,-94.12206268,95,0,0,0,0,0,0,0,0,0
11085376,2,4.002539158,11084305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,95,11085371,1024.632568,27.55999947,-94.12206268,96,0,0,0,0,0,0,0,0,0
11095322,2,4.015429497,11094251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,96,11095317,1024.6521,27.56999969,-94.2832489,97,0,0,0,0,0,0,0,0,0
11099376,2,4.002539158,11098305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,97,11099370,1024.6521,27.56999969,-94.2832489,98,0,0,0,0,0,0,0,0,0
11104322,2,3.99609375,11103251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,98,11104316,1024.6521,27.56999969,-94.2832489,99,0,0,0,0,0,0,0,0,0
11110376,2,4.015429497,11109305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,99,11110371,1024.641357,27.56999969,-94.19605255,100,0,0,0,0,0,0,0,0,0
11117322,2,4.015429497,11116251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,100,11117317,1024.641357,27.56999969,-94.19605255,101,0,0,0,0,0,0,0,0,0
11120376,2,4.002539158,11119305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,101,11120371,1024.641357,27.56999969,-94.19605255,102,0,0,0,0,0,0,0,0,0
11124322,2,4.002539158,11123251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,102,11124316,1024.641357,27.56999969,-94.19605255,103,0,0,0,0,0,0,0,0,0
11130376,2,3.99609375,11129305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,103,11130371,1024.642822,27.55999947,-94.20661926,104,0,0,0,0,0,0,0,0,0
11137322,2,4.015429497,11136251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,104,11137317,1024.642822,27.55999947,-94.20661926,105,0,0,0,0,0,0,0,0,0
11140376,2,4.002539158,11139305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,105,11140371,1024.642822,27.55999947,-94.20661926,106,0,0,0,0,0,0,0,0,0
11144322,2,4.015429497,11143251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,106,11144316,1024.642822,27.55999947,-94.20661926,107,0,0,0,0,0,0,0,0,0
11150376,2,4.008984566,11149305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,107,11150371,1024.653809,27.55999947,-94.29645538,108,0,0,0,0,0,0,0,0,0
11157322,2,4.015429497,11156251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,108,11157317,1024.653809,27.55999947,-94.29645538,109,0,0,0,0,0,0,0,0,0
11160376,2,4.002539158,11159305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,109,11160371,1024.653809,27.55999947,-94.29645538,110,0,0,0,0,0,0,0,0,0
11166322,2,3.99609375,11165251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,110,11166317,1024.653809,27.55999947,-94.29645538,111,0,0,0,0,0,0,0,0,0
11169376,2,4.002539158,11168305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,111,11169371,1024.629883,27.55999947,-94.10092926,112,0,0,0,0,0,0,0,0,0
11173322,2,4.015429497,11172251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.0625,0,0,0,112,11173316,1024.629883,27.55999947,-94.10092926,113,0,0,0,0,0,0,0,0,0
11180322,2,4.002539158,11179251,0.267456055,-0.115844727,-0.241577148,0.925537109,3,0.03125,0.01953125,-0.03125,0,0,0,113,11180317,1024.629883,27.55999947,-94.10092926,114,0,0,0,0,0,0,0,0,0
11186376,2,4.015429497,11185305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.03125,0,0,0,114,11186371,1024.629883,27.55999947,-94.10092926,115,0,0,0,0,0,0,0,0,0
11192322,2,4.015429497,11191251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.03125,0,0,0,115,11192317,1024.626709,27.55999947,-94.07450104,116,0,0,0,0,0,0,0,0,0
11195376,2,4.002539158,11194305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.03125,0,0,0,116,11195371,1024.626709,27.55999947,-94.07450104,117,0,0,0,0,0,0,0,0,0
11202322,2,4.002539158,11201251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.03125,0,0,0,117,11202317,1024.626709,27.55999947,-94.07450104,118,0,0,0,0,0,0,0,0,0
11208376,2,3.99609375,11207305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,0.01953125,-0.03125,0,0,0,118,11208371,1024.608643,27.56999969,-93.92652893,119,0,0,0,0,0,0,0,0,0
