t_us,state,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
27235060,4,27193373,0.15948486328125,0.0849609375,-0.01177978515625,0.98345947265625,0,-0.171875,0.05078125,0.02734375,2.7556254041254663e-40,1.0101694382609385e-39,1.6592873206962662e-38,191,27194438,1026.5263671875,24.8700008392334,0.02113855630159378,193,27235057,0,0,0.0,0.0,0.0,0,192
27288098,4,27246456,0.15582275390625,0.08673095703125,-0.01171875,0.98388671875,0,-0.171875,0.05078125,0.02734375,2.7556254041254663e-40,1.0101694382609385e-39,1.6592873206962662e-38,192,27247521,1026.5263671875,24.8700008392334,0.02113855630159378,194,27288095,0,0,0.0,0.0,0.0,0,193
27334084,4,27298402,0.15582275390625,0.08673095703125,-0.01171875,0.98388671875,3,-0.1171875,0.01953125,0.09375,2.7556254041254663e-40,1.0101694382609385e-39,1.6592873206962662e-38,193,27299467,1026.558837890625,24.8700008392334,-0.24573571979999542,195,27334081,0,0,0.0,0.0,0.0,0,194
27384304,4,27336349,0.1553955078125,0.086181640625,-0.01165771484375,0.9840087890625,0,-0.1171875,0.01953125,0.09375,2.7556254041254663e-40,1.0101694382609385e-39,1.6592873206962662e-38,194,27337414,1026.5302734375,24.8700008392334,-0.013211597688496113,196,27384301,0,0,0.0,0.0,0.0,0,195
27438089,4,27390456,0.15130615234375,0.08514404296875,-0.0111083984375,0.9847412109375,0,-0.1171875,0.01953125,0.09375,2.7556254041254663e-40,1.0101694382609385e-39,1.6592873206962662e-38,195,27391521,1026.51611328125,24.8700008392334,0.1056927815079689,197,27438086,0,0,0.0,0.0,0.0,0,196
27485060,4,27443373,0.15130615234375,0.08514404296875,-0.0111083984375,0.9847412109375,0,-0.1171875,0.01953125,0.09375,nan,9.184908875309516e-40,1.694071752476201e-38,196,27444439,1026.513671875,24.8700008392334,0.12154670059680939,198,27485057,0,0,0.0,0.0,0.0,0,197
27538060,4,27496480,0.15130615234375,0.08514404296875,-0.0111083984375,0.9847412109375,3,-0.23828125,0.7265625,0.078125,nan,9.184908875309516e-40,1.694071752476201e-38,197,27497545,1026.550048828125,24.8799991607666,-0.17439308762550354,199,27538057,0,0,0.0,0.0,0.0,0,198
27585060,4,27549349,0.132080078125,0.0830078125,-0.00970458984375,0.98773193359375,0,-0.23828125,0.7265625,0.078125,nan,9.184908875309516e-40,1.694071752476201e-38,198,27550414,1026.518310546875,24.860000610351562,0.08455422520637512,200,27585057,0,0,0.0,0.0,0.0,0,199
27635060,4,27587480,0.132080078125,0.0830078125,-0.00970458984375,0.98773193359375,3,0.12890625,-0.4609375,-0.00390625,nan,9.184908875309516e-40,1.694071752476201e-38,199,27588545,1026.55078125,24.8700008392334,-0.17967772483825684,201,27635057,0,0,0.0,0.0,0.0,0,200
27742077,4,27700349,0.1275634765625,0.07952880859375,-0.0118408203125,0.98858642578125,0,0.12890625,-0.4609375,-0.00390625,nan,9.184908875309516e-40,1.694071752476201e-38,200,27701415,1026.53271484375,24.8700008392334,-0.03170783445239067,202,27742074,0,0,0.0,0.0,0.0,0,201
27783356,4,27753504,0.1275634765625,0.07952880859375,-0.0118408203125,0.98858642578125,3,-0.046875,-0.16796875,0.0625,nan,9.184908875309516e-40,1.694071752476201e-38,201,27754570,1026.5390625,24.8700008392334,-0.08455422520637512,203,27783353,0,0,0.0,0.0,0.0,0,202
27834265,4,27786349,0.14208984375,0.08099365234375,-0.01300048828125,0.9864501953125,0,-0.046875,-0.16796875,0.0625,nan,9.184908875309516e-40,1.694071752476201e-38,202,27787415,1026.51806640625,24.8700008392334,0.08983886241912842,204,27834262,0,0,0.0,0.0,0.0,0,203
27887060,4,27839063,0.14208984375,0.08099365234375,-0.01300048828125,0.9864501953125,3,-0.015625,0.12109375,-0.08203125,nan,9.184908875309516e-40,1.694071752476201e-38,203,27840128,1026.571533203125,24.8700008392334,-0.3514285087585449,205,27887057,0,0,0.0,0.0,0.0,0,204
