t_us,p_x,p_y,p_z,v_x,v_y,v_z,roll_deg,pitch_deg,yaw_deg,r_baro,r_gps_pos_x,r_gps_pos_y,r_gps_pos_z,r_gps_vel_x,r_gps_vel_y,r_gps_vel_z
10614513,7.026255,-4.557402,3.030832,21.701854,-16.471771,9.648571,0.100883,0.006768,0.006031,3.683683,-7.237417,5.811895,-3.171706,-23.152482,17.926782,-9.452816
10672513,4.884320,-2.852102,3.259206,10.537086,-7.757027,11.255444,0.100883,0.006768,0.006031,3.693260,-8.632131,6.795114,-3.093272,-29.867967,22.917543,-8.583343
10754513,4.553432,-2.594426,3.300142,9.552342,-7.257568,11.371919,0.100883,0.006768,0.006031,3.761316,-7.276738,5.710368,-3.263123,-23.860876,18.373237,-9.458810
10808513,7.127300,-4.632551,3.087815,22.421625,-17.573863,9.599046,0.100883,0.006768,0.006031,3.759073,-7.276738,5.710368,-3.263123,-23.860876,18.373237,-9.458810
10866643,4.933753,-2.924355,3.321136,10.661749,-8.503357,11.277561,0.100883,0.006768,0.006031,3.758637,-8.787703,6.939519,-3.148891,-30.857765,24.308050,-8.494381
10920643,7.807849,-5.222141,3.048113,24.654464,-19.707508,9.302010,0.100883,0.006768,0.006031,3.759889,-8.787703,6.939519,-3.148891,-30.857765,24.308050,-8.494381
10974513,5.037582,-3.031054,3.318929,10.211148,-8.277440,11.336626,0.100883,0.006768,0.006031,3.774438,-9.345758,7.440073,-3.125744,-32.226470,25.762533,-8.317810
11032513,3.811159,-2.057865,3.461224,3.652077,-3.041904,12.288363,0.100883,0.006768,0.006031,3.800463,-7.540022,6.026605,-3.346612,-24.068321,19.385396,-9.493937
11087643,5.834152,-3.683852,3.277435,15.775914,-12.755293,10.550477,0.100883,0.006768,0.006031,4.075191,-7.540022,6.026605,-3.346612,-24.068321,19.385396,-9.493937
11168513,4.942473,-2.975328,3.370346,10.433167,-8.477504,11.309962,0.100883,0.006768,0.006031,3.992710,-8.799036,7.055225,-3.236489,-30.636363,24.606826,-8.561517
11225513,3.867124,-2.113634,3.432659,4.587927,-3.769279,12.067210,0.100883,0.006768,0.006031,3.847837,-7.640812,6.134067,-3.336349,-25.723154,20.783815,-9.161763
11280513,5.936859,-3.775358,3.248260,16.831689,-13.565514,10.327593,0.100883,0.006768,0.006031,3.912779,-7.640812,6.134067,-3.336349,-25.723154,20.783815,-9.161763
11361513,4.962265,-2.985677,3.371587,10.372477,-8.294665,11.305253,0.100883,0.006768,0.006031,3.514227,-9.079799,7.280827,-3.189500,-32.431091,26.027807,-8.194778
11418513,7.795412,-5.247077,3.189095,24.211950,-19.324943,9.478710,0.100883,0.006768,0.006031,3.251329,-9.079799,7.280827,-3.189500,-32.431091,26.027807,-8.194778
11472577,5.040525,-3.035002,3.432958,9.941140,-7.842451,11.456916,0.100883,0.006768,0.006031,3.865235,-9.535641,7.622773,-3.240146,-33.234710,26.446729,-8.236047
11528577,3.834769,-2.064518,3.531193,3.657955,-2.757353,12.305831,0.100883,0.006768,0.006031,3.920460,-7.644947,6.085843,-3.425817,-24.974430,19.769723,-9.365725
11582577,5.821380,-3.629189,3.366124,15.878071,-12.396307,10.573956,0.100883,0.006768,0.006031,3.878734,-7.644947,6.085843,-3.425817,-24.974430,19.769723,-9.365725
11639513,4.159308,-2.303911,3.501555,5.253029,-3.934820,12.051459,0.100883,0.006768,0.006031,3.622429,-9.286718,7.344603,-3.270565,-33.520046,26.346338,-8.118360
11694643,6.479726,-4.124821,3.273967,18.783233,-14.598954,10.103404,0.100883,0.006768,0.006031,3.983324,-9.286718,7.344603,-3.270565,-33.520046,26.346338,-8.118360
11775513,5.257725,-3.156658,3.366146,11.090950,-8.574040,11.151188,0.100883,0.006768,0.006031,4.069962,-9.929566,7.823396,-3.193127,-35.527324,27.810945,-7.818192
11833513,8.443368,-5.666006,3.096777,26.895709,-21.083087,8.975851,0.100883,0.006768,0.006031,3.689871,-9.929566,7.823396,-3.193127,-35.527324,27.810945,-7.818192
11887643,5.280900,-3.181104,3.359600,10.262864,-8.063921,11.245838,0.100883,0.006768,0.006031,3.912024,-10.325952,8.137479,-3.138859,-36.454372,28.643966,-7.660343
11968577,4.752536,-2.782937,3.354228,8.917580,-7.209587,11.319121,0.100883,0.006768,0.006031,3.756438,-7.961004,6.295860,-3.301408,-26.072595,20.695337,-8.957079
12026513,3.738900,-1.997190,3.440696,3.395607,-3.016405,12.085011,0.100883,0.006768,0.006031,3.775834,-7.321411,5.842621,-3.375172,-24.652799,19.961708,-9.110973
12080513,5.764883,-3.647354,3.248503,16.332122,-13.518557,10.206912,0.100883,0.006768,0.006031,3.627955,-7.321411,5.842621,-3.375172,-24.652799,19.961708,-9.110973
12163577,5.028193,-3.077537,3.310085,11.116106,-9.371104,10.963254,0.100883,0.006768,0.006031,3.856270,-9.185162,7.416338,-3.178779,-34.346199,28.081674,-7.676115
12221643,8.222453,-5.673399,3.050513,27.185077,-22.317743,8.759485,0.100883,0.006768,0.006031,3.577799,-9.185162,7.416338,-3.178779,-34.346199,28.081674,-7.676115
12281643,5.256659,-3.263371,3.337125,10.579552,-8.729969,11.151224,0.100883,0.006768,0.006031,4.133608,-10.470274,8.484890,-3.106073,-38.094390,31.095224,-7.282301
12363577,4.711299,-2.808962,3.354556,8.796051,-7.097532,11.353619,0.100883,0.006768,0.006031,3.823684,-8.028886,6.489511,-3.315145,-26.709856,21.623716,-8.874053
12420577,7.522724,-5.060647,3.148986,23.843067,-19.111606,9.307465,0.100883,0.006768,0.006031,3.507715,-8.028886,6.489511,-3.315145,-26.709856,21.623716,-8.874053
12475513,4.957439,-2.982946,3.369095,9.939882,-7.822807,11.266621,0.100883,0.006768,0.006031,4.012582,-9.302441,7.473356,-3.248143,-33.490943,26.802885,-7.969959
12557643,4.638829,-2.709404,3.364029,9.584439,-7.433698,11.253682,0.100883,0.006768,0.006031,3.977036,-7.660940,6.121573,-3.368469,-26.288253,20.838142,-8.921480
12614513,7.724225,-5.147104,3.081698,26.412351,-20.745500,8.861777,0.100883,0.006768,0.006031,3.801050,-7.660940,6.121573,-3.368469,-26.288253,20.838142,-8.921480
12668577,5.039439,-3.002975,3.334270,11.016283,-8.456995,11.089842,0.100883,0.006768,0.006031,3.640470,-9.596167,7.611462,-3.146463,-36.514770,28.746728,-7.427388
12722643,8.250477,-5.530632,3.006295,28.069561,-21.931879,8.611910,0.100883,0.006768,0.006031,3.872511,-9.596167,7.611462,-3.146463,-36.514770,28.746728,-7.427388
12779513,5.131257,-3.062981,3.354395,10.137846,-7.787226,11.277382,0.100883,0.006768,0.006031,3.644513,-10.220070,8.067822,-3.138034,-37.757980,29.530223,-7.333586
12860513,4.695538,-2.715888,3.365812,9.277828,-7.163668,11.327843,0.100883,0.006768,0.006031,3.860980,-7.866968,6.200928,-3.371002,-26.780584,21.007890,-8.904718
12914577,7.617160,-5.021736,3.093466,25.589424,-20.100490,9.006401,0.100883,0.006768,0.006031,3.867973,-7.866968,6.200928,-3.371002,-26.780584,21.007890,-8.904718
12971577,4.983045,-2.953982,3.387810,10.121523,-8.017748,11.278749,0.100883,0.006768,0.006031,3.681568,-9.516438,7.510341,-3.207638,-35.614616,28.073747,-7.656378
13052643,4.695076,-2.743189,3.366635,9.811108,-7.931040,11.218366,0.100883,0.006768,0.006031,4.115696,-7.746767,6.140056,-3.388983,-27.183080,21.595102,-8.846129
13106513,7.670863,-5.123904,3.081663,26.169563,-21.014078,8.895843,0.100883,0.006768,0.006031,3.396471,-7.746767,6.140056,-3.388983,-27.183080,21.595102,-8.846129
13161513,4.998742,-3.005301,3.350117,10.288704,-8.417511,11.184370,0.100883,0.006768,0.006031,3.719835,-9.558918,7.623331,-3.191869,-36.355705,29.144542,-7.488622
13219513,8.165440,-5.547607,3.128394,27.011478,-21.798973,8.936845,0.100883,0.006768,0.006031,3.566165,-9.558918,7.623331,-3.191869,-36.355705,29.144542,-7.488622
13274643,5.044741,-3.051556,3.441242,9.406405,-7.678904,11.455582,0.100883,0.006768,0.006031,3.907384,-10.087111,8.076794,-3.239675,-37.204734,29.981565,-7.530315
13356513,4.604421,-2.694871,3.466398,8.647869,-6.961513,11.502605,0.100883,0.006768,0.006031,4.108819,-7.806520,6.251746,-3.497181,-26.430231,21.174287,-9.080421
